# (c) Martin Lellep 2021; This sample data file belongs to my project "Cycling in Marburg" (http://lellep.xyz/blog/cycling-in-marburg-1-intro.html)
timestamp,Aquamar,Biegenstraße/Cineplex,Elisabeth-Blochmann-Platz,Stadtbüro,Wehrda Bürgerhaus
2020-06-06 08:14:25.999712,3,0,6,2,3
2020-06-06 08:15:01.638282,3,0,6,2,3
2020-06-06 08:15:37.307065,3,0,6,2,3
2020-06-06 08:16:12.989496,3,0,6,2,3
2020-06-06 08:16:48.587277,3,0,6,2,3
2020-06-06 08:17:24.111434,3,0,6,2,3
2020-06-06 08:17:59.793210,3,0,6,2,3
2020-06-06 08:18:35.501007,3,0,6,2,3
2020-06-06 08:19:11.128086,3,0,6,2,3
2020-06-06 08:19:46.676276,3,0,6,2,3
2020-06-06 08:20:22.249658,3,0,6,2,3
2020-06-06 08:20:57.831520,3,0,6,2,3
2020-06-06 08:21:33.899256,3,0,6,2,3
2020-06-06 08:22:10.174347,3,0,6,2,3
2020-06-06 08:24:16.874676,3,0,6,2,3
2020-06-06 08:24:52.607001,3,0,6,2,3
2020-06-06 08:25:28.330875,3,0,6,2,3
2020-06-06 08:26:04.050345,3,0,6,2,3
2020-06-06 08:26:39.858301,3,0,6,2,3
2020-06-06 08:27:15.643322,3,0,6,2,3
2020-06-06 08:27:51.446167,3,0,6,2,3
2020-06-06 08:28:27.235747,3,0,6,2,3
2020-06-06 08:29:02.940408,3,0,6,2,3
2020-06-06 08:29:38.677716,3,0,6,2,3
2020-06-06 08:30:14.338643,3,0,6,2,3
2020-06-06 08:30:50.044787,3,0,6,2,3
2020-06-06 08:31:25.825983,3,0,6,2,3
2020-06-06 08:32:01.614241,3,0,6,2,3
2020-06-06 08:32:37.387992,3,0,6,2,3
2020-06-06 08:33:13.167849,3,0,6,2,3
2020-06-06 08:33:48.937328,3,0,6,2,3
2020-06-06 08:34:24.687892,3,0,6,2,3
2020-06-06 08:35:00.483527,3,0,6,2,3
2020-06-06 08:35:36.417180,3,0,6,2,3
2020-06-06 08:36:12.380596,3,0,6,2,3
2020-06-06 08:36:48.190939,3,0,6,2,3
2020-06-06 08:37:23.870133,3,0,6,2,3
2020-06-06 08:37:59.507663,3,0,6,2,3
2020-06-06 08:38:35.349463,3,0,6,2,3
2020-06-06 08:39:11.208948,3,0,6,2,3
2020-06-06 08:39:46.868341,3,0,6,2,3
2020-06-06 08:40:22.488930,3,0,6,2,3
2020-06-06 08:40:58.142005,3,0,6,2,3
2020-06-06 08:41:33.848499,3,0,6,2,3
2020-06-06 08:42:09.553931,3,0,6,2,3
2020-06-06 08:42:45.234572,3,0,6,2,3
2020-06-06 08:43:20.923005,3,0,6,2,3
2020-06-06 08:43:56.574816,3,0,6,2,3
2020-06-06 08:44:32.221742,3,0,6,2,3
2020-06-06 08:45:08.009096,3,0,6,2,3
2020-06-06 08:45:43.803999,3,0,6,2,3
2020-06-06 08:46:19.564004,3,0,6,2,3
2020-06-06 08:46:55.334893,3,0,6,2,3
2020-06-06 08:47:31.147123,3,0,6,2,3
2020-06-06 08:48:07.025515,3,0,6,2,3
2020-06-06 08:48:42.835273,3,0,6,2,3
2020-06-06 08:49:18.446871,3,0,6,2,3
2020-06-06 08:49:54.118434,3,0,6,2,3
2020-06-06 08:50:29.866065,3,0,6,2,3
2020-06-06 08:51:05.759030,3,0,6,2,3
2020-06-06 08:51:41.576473,3,0,6,2,3
2020-06-06 08:52:17.332555,3,0,6,2,3
2020-06-06 08:52:53.064262,3,0,6,2,3
2020-06-06 08:53:28.746168,3,0,6,2,3
2020-06-06 08:54:04.489105,3,0,6,2,3
2020-06-06 08:54:40.208143,3,0,6,2,3
2020-06-06 08:55:15.869824,3,0,6,2,3
2020-06-06 08:55:51.565320,3,0,6,2,3
2020-06-06 08:56:27.276821,3,0,6,2,3
2020-06-06 08:57:03.037312,3,0,6,2,3
2020-06-06 08:57:38.821946,3,0,6,2,3
2020-06-06 08:58:14.609260,3,0,6,2,3
2020-06-06 08:58:50.396602,3,0,6,2,3
2020-06-06 08:59:26.048992,3,0,6,2,3
2020-06-06 09:00:01.895721,3,0,6,2,3
2020-06-06 09:00:37.731248,3,0,6,2,3
2020-06-06 09:01:13.428356,3,0,6,2,3
2020-06-06 09:01:49.188644,3,0,6,2,3
2020-06-06 09:02:24.959017,3,0,6,2,3
2020-06-06 09:03:00.685422,3,0,6,2,3
2020-06-06 09:03:36.404050,3,0,6,2,3
2020-06-06 09:04:12.164714,3,0,6,2,3
2020-06-06 09:04:48.033388,3,0,6,2,3
2020-06-06 09:05:23.754480,3,0,6,2,3
2020-06-06 09:05:59.448206,3,0,6,2,3
